,Spec,Sens,FP,FN
res_cb_0.5,0.611111111,0.5,0.388888889,0.5
res_cb_0.7,0.444444444,0.5,0.555555556,0.5
res_bm,0.055555556,1,0.944444444,0
res_cb_0.51,0.388888889,0.5,0.611111111,0.5
res_cb_0.71,0.333333333,1,0.666666667,0
res_bm1,0.111111111,1,0.888888889,0
res_cb_0.52,0.722222222,0.5,0.277777778,0.5
res_cb_0.72,0.611111111,0.5,0.388888889,0.5
res_bm2,0,1,1,0
res_cb_0.53,0.722222222,1,0.277777778,0
res_cb_0.73,0.611111111,1,0.388888889,0
res_bm3,0.055555556,1,0.944444444,0
res_cb_0.54,0.722222222,1,0.277777778,0
res_cb_0.74,0.722222222,1,0.277777778,0
res_bm4,0,1,1,0
res_cb_0.55,0.555555556,0.5,0.444444444,0.5
res_cb_0.75,0.5,0.5,0.5,0.5
res_bm5,0.111111111,1,0.888888889,0
res_cb_0.56,0.611111111,1,0.388888889,0
res_cb_0.76,0.611111111,0.5,0.388888889,0.5
res_bm6,0.111111111,1,0.888888889,0
res_cb_0.57,0.611111111,0.5,0.388888889,0.5
res_cb_0.77,0.611111111,0.5,0.388888889,0.5
res_bm7,0,1,1,0
res_cb_0.58,0.555555556,0.5,0.444444444,0.5
res_cb_0.78,0.5,0.5,0.5,0.5
res_bm8,0.166666667,0.5,0.833333333,0.5
res_cb_0.59,0.611111111,1,0.388888889,0
res_cb_0.79,0.555555556,0.5,0.444444444,0.5
res_bm9,0,1,1,0
res_cb_0.510,0.666666667,1,0.333333333,0
res_cb_0.710,0.555555556,1,0.444444444,0
res_bm10,0,1,1,0
res_cb_0.511,0.5,0.5,0.5,0.5
res_cb_0.711,0.444444444,1,0.555555556,0
res_bm11,0.166666667,1,0.833333333,0
res_cb_0.512,0.833333333,1,0.166666667,0
res_cb_0.712,0.722222222,1,0.277777778,0
res_bm12,0.055555556,1,0.944444444,0
res_cb_0.513,0.555555556,1,0.444444444,0
res_cb_0.713,0.555555556,1,0.444444444,0
res_bm13,0.055555556,1,0.944444444,0
res_cb_0.514,0.666666667,0.5,0.333333333,0.5
res_cb_0.714,0.611111111,0.5,0.388888889,0.5
res_bm14,0.055555556,1,0.944444444,0
res_cb_0.515,0.666666667,1,0.333333333,0
res_cb_0.715,0.555555556,1,0.444444444,0
res_bm15,0.166666667,1,0.833333333,0
res_cb_0.516,0.555555556,1,0.444444444,0
res_cb_0.716,0.5,1,0.5,0
res_bm16,0.111111111,1,0.888888889,0
res_cb_0.517,0.666666667,0.5,0.333333333,0.5
res_cb_0.717,0.666666667,0.5,0.333333333,0.5
res_bm17,0.055555556,1,0.944444444,0
res_cb_0.518,0.666666667,0,0.333333333,1
res_cb_0.718,0.611111111,0,0.388888889,1
res_bm18,0.111111111,1,0.888888889,0
res_cb_0.519,0.722222222,0.5,0.277777778,0.5
res_cb_0.719,0.555555556,0.5,0.444444444,0.5
res_bm19,0.111111111,1,0.888888889,0