Model,Spec,Sens,FP,FN,,
EN-Casebase,0.56667,0.32857,0.4333,0.5667,,
Boosted-FG,0.9666,0.01428,0.0334,0.98572,,
aLASSO-Binomial,0.6333333,0.2142857,0.3666667,0.6333333,,
EN-Casebase,0.5666667,0.3571429,0.4333333,0.6428571,,
Boosted-FG,0.9666667,0.01428571,0.03333333,0.9857143,,
aLASSO-Binomial,0.8666667,0.2571429,0.1333333,0.7428571,,
EN-Casebase,0.8333333,0.2,0.1666667,0.8,,
Boosted-FG,0.8666667,0.05714286,0.1333333,0.9428571,,
aLASSO-Binomial,0.7666667,0.2142857,0.2333333,0.7857143,,
EN-Casebase,0.6666667,0.2857143,0.3333333,0.7142857,,
Boosted-FG,1,0,0,1,,
aLASSO-Binomial,0.7333333,0.2285714,0.2666667,0.7714286,,
EN-Casebase,0.8333333,0.1857142,0.16666667,0.8142857,,
Boosted-FG,0.9666667,0.02857143,0.03333333,0.9714286,,
aLASSO-Binomial,0.8,0.2,0.2,0.8,,
EN-Casebase,0.83333333,0.07142857,0.16666667,0.92857143,,
Boosted-FG,1,0,0,1,,
aLASSO-Binomial,0.8,0.3,0.2,0.7,,
EN-Casebase,0.5,0.4285714,0.5,0.5714286,,
Boosted-FG,1,0,0,1,,
aLASSO-Binomial,0.7666667,0.2285714,0.2333333,0.7714286,,
EN-Casebase,0.7,0.385714286,0.3,0.614285714,,
Boosted-FG,1,0,0,1,,
aLASSO-Binomial,0.933333333,0.228571429,0.066666667,0.771428571,,
EN-Casebase,0.566666667,0.314285714,0.433333333,0.685714286,,
Boosted-FG,1,0.042857143,0,0.957142857,,
aLASSO-Binomial,0.766666667,0.228571429,0.233333333,0.771428571,,
EN-Casebase,0.733333333,0.485714286,0.266666667,0.514285714,,
Boosted-FG,1,0.014285714,0,0.985714286,,
aLASSO-Binomial,0.9,0.228571429,0.1,0.771428571,,
EN-Casebase,0.433333333,0.471428571,0.566666667,0.528571429,,
Boosted-FG,1,0,0,1,,
aLASSO-Binomial,1,0,0,1,,
EN-Casebase,0.56666667,0.21428571,0.43333333,0.78571429,,
Boosted-FG,1,0,0,1,,
aLASSO-Binomial,0.5,0.27142857,0.5,0.72857143,,
EN-Casebase,0.66666667,0.52857143,0.33333333,0.47142857,,
Boosted-FG,0.96666667,0,0.03333333,1,,
aLASSO-Binomial,1,0,0,1,,
EN-Casebase,0.53333333,0.34285714,0.46666667,0.65714286,,
Boosted-FG,0.93333333,0.01428571,0.06666667,0.98571429,,
aLASSO-Binomial,0.83333333,0.25714286,0.16666667,0.74285714,,
EN-Casebase,0.23333333,0.77142857,0.76666667,0.22857143,,
Boosted-FG,1,0,0,1,,
aLASSO-Binomial,0.73333333,0.18571429,0.26666667,0.81428571,,
EN-Casebase,0.63333333,0.44285714,0.36666667,0.55714286,,
Boosted-FG,1,0,0,1,,
aLASSO-Binomial,0.83333333,0.25714286,0.16666667,0.74285714,,
EN-Casebase,0.33333333,0.6,0.66666667,0.4,,
Boosted-FG,1,0,0,1,,
aLASSO-Binomial,0.8,0.22857143,0.2,0.77142857,,
EN-Casebase,0.96666667,0.14285714,0.03333333,0.85714286,,
Boosted-FG,1,0,0,1,,
aLASSO-Binomial,0.8,0.27142857,0.2,0.72857143,,
EN-Casebase,0.23333333,0.75714286,0.76666667,0.24285714,,
Boosted-FG,1,0,0,1,,
aLASSO-Binomial,1,0,0,1,,
EN-Casebase,0.7,0.6,0.3,0.4,,
Boosted-FG,1,0,0,1,,
aLASSO-Binomial,0.86666667,0.21428571,0.13333333,0.78571429,,